Dates, Open, High, Low, Close,Change,DateUpdate
02-01-2008,76.74,76.74,75.9,76.01,,02-01-2008
03-01-2008,76.04,76.16,75.72,75.92,-0.09,03-01-2008
04-01-2008,75.92,76.09,75.45,75.82,-0.1,04-01-2008
07-01-2008,76,76.35,75.92,76.2,0.38,07-01-2008
08-01-2008,76.28,76.29,75.99,76.12,-0.08,08-01-2008
09-01-2008,76.12,76.54,76.09,76.46,0.34,09-01-2008
10-01-2008,76.5,76.58,75.88,76,-0.46,10-01-2008
11-01-2008,76.03,76.11,75.87,76.04,0.04,11-01-2008
14-01-2008,75.97,75.98,75.41,75.7,-0.34,14-01-2008
15-01-2008,75.66,75.75,75.27,75.66,-0.04,15-01-2008
16-01-2008,75.78,76.56,75.49,76.36,0.7,16-01-2008
17-01-2008,76.3,76.61,76.06,76.3,-0.06,17-01-2008
18-01-2008,76.44,76.62,76.22,76.5,0.2,18-01-2008
22-01-2008,77.5,77.5,76.4,76.54,0.04,22-01-2008
23-01-2008,76.47,76.86,76.42,76.58,0.04,23-01-2008
24-01-2008,76.68,76.68,75.77,75.87,-0.71,24-01-2008
25-01-2008,75.92,76.19,75.82,76.11,0.24,25-01-2008
28-01-2008,76.22,76.22,75.63,75.7,-0.41,28-01-2008
29-01-2008,75.77,75.83,75.61,75.67,-0.03,29-01-2008
30-01-2008,75.69,75.72,74.66,75.14,-0.53,30-01-2008
31-01-2008,75.38,75.58,75.1,75.28,0.14,31-01-2008
01-02-2008,75.35,75.7,74.95,75.56,0.28,01-02-2008
04-02-2008,75.58,75.69,75.39,75.47,-0.09,04-02-2008
05-02-2008,75.48,76.36,75.48,76.28,0.81,05-02-2008
06-02-2008,76.25,76.48,76.13,76.3,0.02,06-02-2008
07-02-2008,76.26,77.19,76.25,77.12,0.82,07-02-2008
08-02-2008,77,77.1,76.65,76.82,-0.3,08-02-2008
11-02-2008,76.72,76.86,76.45,76.73,-0.09,11-02-2008
12-02-2008,76.72,76.81,76.31,76.45,-0.28,12-02-2008
13-02-2008,76.5,76.73,76.42,76.53,0.08,13-02-2008
14-02-2008,76.54,76.58,76.15,76.24,-0.29,14-02-2008
15-02-2008,76.23,76.28,75.94,76.21,-0.03,15-02-2008
19-02-2008,76.38,76.4,75.88,76.08,-0.13,19-02-2008
20-02-2008,76.1,76.64,76.09,76.22,0.14,20-02-2008
21-02-2008,76.18,76.22,75.55,75.65,-0.57,21-02-2008
22-02-2008,75.69,75.78,75.44,75.58,-0.07,22-02-2008
25-02-2008,75.59,75.74,75.5,75.58,0,25-02-2008
26-02-2008,75.56,75.77,74.75,74.79,-0.79,26-02-2008
27-02-2008,74.74,74.78,74.13,74.27,-0.52,27-02-2008
28-02-2008,74.27,74.41,73.69,73.78,-0.49,28-02-2008
29-02-2008,73.88,73.94,73.63,73.75,-0.03,29-02-2008
03-03-2008,73.65,73.9,73.4,73.73,-0.02,03-03-2008
04-03-2008,73.68,73.81,73.51,73.69,-0.04,04-03-2008
05-03-2008,73.73,74,73.38,73.49,-0.2,05-03-2008
06-03-2008,73.47,73.48,72.89,73.04,-0.45,06-03-2008
07-03-2008,72.98,73.22,72.45,73.05,0.01,07-03-2008
10-03-2008,72.86,73.13,72.81,73.02,-0.03,10-03-2008
11-03-2008,73,73.41,72.48,73.29,0.27,11-03-2008
12-03-2008,73.16,73.16,72.23,72.43,-0.86,12-03-2008
13-03-2008,72.34,72.36,71.81,72.08,-0.35,13-03-2008
14-03-2008,72.01,72.26,71.59,71.67,-0.41,14-03-2008
17-03-2008,71.22,71.48,70.81,71.3,-0.37,17-03-2008
18-03-2008,71.92,72.47,71.58,72.04,0.74,18-03-2008
19-03-2008,72.34,72.73,71.7,72.04,0,19-03-2008
20-03-2008,72.5,73.5,72.46,73.23,1.19,20-03-2008
24-03-2008,73.35,73.67,73.27,73.43,0.2,24-03-2008
25-03-2008,73.33,73.39,72.47,72.69,-0.74,25-03-2008
26-03-2008,72.67,72.7,71.75,71.88,-0.81,26-03-2008
27-03-2008,72.08,72.23,71.75,72.04,0.16,27-03-2008
28-03-2008,71.92,72.22,71.88,72.11,0.07,28-03-2008
31-03-2008,72.12,72.21,71.7,72.17,0.06,31-03-2008
01-04-2008,72.23,73.13,72.13,72.97,0.8,01-04-2008
02-04-2008,72.86,73.16,72.52,72.67,-0.3,02-04-2008
03-04-2008,72.58,73.16,72.47,72.48,-0.19,03-04-2008
04-04-2008,72.58,72.64,72.09,72.36,-0.12,04-04-2008
07-04-2008,72.26,72.75,72.25,72.5,0.14,07-04-2008
08-04-2008,72.52,72.68,72.14,72.53,0.03,08-04-2008
09-04-2008,72.63,72.67,71.95,72.12,-0.41,09-04-2008
10-04-2008,72.19,72.5,71.68,72.42,0.3,10-04-2008
11-04-2008,72.36,72.4,71.97,72.06,-0.36,11-04-2008
14-04-2008,72.53,72.66,71.76,72.13,0.07,14-04-2008
15-04-2008,72.11,72.44,71.94,72.29,0.16,15-04-2008
16-04-2008,72.33,72.33,71.51,71.64,-0.65,16-04-2008
17-04-2008,71.69,72.04,71.56,71.92,0.28,17-04-2008
18-04-2008,71.84,74.5,71.63,72.25,0.33,18-04-2008
21-04-2008,72.23,72.27,71.7,71.88,-0.37,21-04-2008
22-04-2008,71.88,72.15,71.05,71.54,-0.34,22-04-2008
23-04-2008,71.58,72.17,71.53,72.05,0.51,23-04-2008
24-04-2008,72.06,72.94,72.05,72.78,0.73,24-04-2008
25-04-2008,72.79,73.25,72.7,73.03,0.25,25-04-2008
28-04-2008,72.91,73,72.66,72.8,-0.23,28-04-2008
29-04-2008,72.72,73.14,72.71,73.11,0.31,29-04-2008
30-04-2008,73.06,73.3,72.67,72.72,-0.39,30-04-2008
01-05-2008,72.75,73.58,72.69,73.48,0.76,01-05-2008
02-05-2008,73.41,73.9,73.3,73.69,0.21,02-05-2008
