Dates,WTI,Previous_settle,Change,Updatetime,Month_code
03-01-2008,99.18,99.62,-0.44,03-01-2008,Default
04-01-2008,97.91,99.18,-1.27,04-01-2008,Default
07-01-2008,95.09,97.91,-2.82,07-01-2008,Default
08-01-2008,96.33,95.09,1.24,08-01-2008,Default
09-01-2008,95.67,96.33,-0.66,09-01-2008,Default
10-01-2008,93.71,95.67,-1.96,10-01-2008,Default
11-01-2008,92.69,93.71,-1.02,11-01-2008,Default
14-01-2008,94.2,92.69,1.51,14-01-2008,Default
15-01-2008,91.9,94.2,-2.3,15-01-2008,Default
16-01-2008,90.84,91.9,-1.06,16-01-2008,Default
17-01-2008,90.13,90.84,-0.71,17-01-2008,Default
18-01-2008,90.57,90.13,0.44,18-01-2008,Default
22-01-2008,89.85,90.57,-0.72,22-01-2008,Default
23-01-2008,86.99,89.85,-2.86,23-01-2008,Default
24-01-2008,89.41,86.99,2.42,24-01-2008,Default
25-01-2008,90.71,89.41,1.3,25-01-2008,Default
28-01-2008,90.99,90.71,0.28,28-01-2008,Default
29-01-2008,91.64,90.99,0.65,29-01-2008,Default
30-01-2008,92.33,91.64,0.69,30-01-2008,Default
31-01-2008,91.75,92.33,-0.58,31-01-2008,Default
01-02-2008,88.96,91.75,-2.79,01-02-2008,Default
04-02-2008,90.02,88.96,1.06,04-02-2008,Default
05-02-2008,88.41,90.02,-1.61,05-02-2008,Default
06-02-2008,87.14,88.41,-1.27,06-02-2008,Default
07-02-2008,88.11,87.14,0.97,07-02-2008,Default
08-02-2008,91.77,88.11,3.66,08-02-2008,Default
11-02-2008,93.59,91.77,1.82,11-02-2008,Default
12-02-2008,92.78,93.59,-0.81,12-02-2008,Default
13-02-2008,93.27,92.78,0.49,13-02-2008,Default
14-02-2008,95.46,93.27,2.19,14-02-2008,Default
15-02-2008,95.5,95.46,0.04,15-02-2008,Default
19-02-2008,100.01,95.5,4.51,19-02-2008,Default
20-02-2008,100.74,100.01,0.73,20-02-2008,Default
21-02-2008,98.23,100.74,-2.51,21-02-2008,Default
22-02-2008,98.81,98.23,0.58,22-02-2008,Default
25-02-2008,99.23,98.81,0.42,25-02-2008,Default
26-02-2008,100.88,99.23,1.65,26-02-2008,Default
